exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190904_01-02_600components-0042	21	0.000760966	-6.30272197107375E-10	-0.0083458095	0.0230557914	0	661.9397438191	828.0088991379	883.43407807	993.0864467619														0.9595735368	-6.6884903063	6.6067091127	1.972380165	2	5	5	0	1.0792351605	0.0022160125	4.585020216	1.1366671305	0.414979784	0	1				6.95
190904_01-02_600components-0043	21	0.0007609648	-4.96455204526749E-10	-0.0425313533	0.0743240277	0	692.914968148	833.5830644144	773.911704946	780.1473728309														0.9776635596	-3.3761487729	10.8642441603	1.8140363164	0									1	0			1	6.95
190904_01-02_600components-0044	21	0.0007609651	-3.83285896692319E-10	-0.0594967958	0.1722913391	0	653.0262305182	828.2899700116	1044.010275748	1244.9123977153														0.9763367471	-7.8529099704	4.7889601606	1.757898232	2	5	5	1	1.1050883993	0.0027223492	4.2044820763	1.1579619456	0.7955179237	1	0			1	6.95
190904_01-02_600components-0045	21	0.000760966	-3.29499007889849E-09	-0.0138026202	0.0261215891	2	633.6456857674	814.7184315094	878.001257206	405.1100428602	0.3217976268	159	1004.636222125	2.732421875	8.7546217404	0.2789473684	0.9636363636	385.9874213836	871.0251572327	0.0027198122	0.9934548618	4.9382304401	43.2323395696	0.9560141392	-8.2212812786	4.1081973254	1.7370866266	3	5	5	2	1.1960572261	0.0081857932	4.2044820763	1.3673200881	0.7955179237	1	0			1	6.95
190904_01-02_600components-0046	21	0.0007609656	1.3171686846648E-09	-0.0147900191	0.020075153	8	621.9133004833	820.9228186128	451.4483269252	941.5677306295	1.3414677254	735	974.8307611221	5.01953125	4.4214803855	0.5061983471	0.7060518732	963.8585034014	448.8421768707	0.005149131	0.9740881722	14.7233197497	65.098869482	0.9424025365	-5.7647079981	9.156348333	1.7283939711	2	5	5	1	1.3356407422	0.0208840275	4.2044820763	1.4890454865	0.7955179237	1	0		1		6.95
190904_01-02_600components-0047	21	0.0007609649	2.83391473471204E-10	-0.0109825451	0.012425101	1	609.7502605898	826.8806834011	248.2553880628	1250.1247557321	-0.7853981634	11	951.8049094876	0.1243286133	1.0384755041	0.6875	1	1263.8181818182	255.1818181818	0.0001306241	0.269679945	3.6725472503	3.813850357	0.9666215522	-5.4611956563	8.6227276644	1.6488195601	2	5	5	1	1.2707309134	0.0094461851	4.2044820763	1.4006224209	0.7955179237	1	0			1	6.95
190904_01-02_600components-0048	21	0.0007609656	2.03356940955471E-10	-0.0134148527	0.0163498467	0	649.0096353821	820.6696666794	1333.2939833997	982.7415117215														0.9645158755	-6.474206117	3.8514597398	1.4026171603	2	5	5	1	1.1994317901	0.006796548	4.2044820763	1.3521958748	0.7955179237	1	0			1	6.95
190904_01-02_600components-0049	21	0.0007609672	-2.48292232369E-09	-0.0040814144	0.0056831596	0	627.3727293785	811.2102073342	637.8595863448	953.1120378692														0.6767295707	-6.0726442618	12.655651971	1.3297161119	2	5	5	0	1.158032867	0.0361382954	4.585020216	1.2178661113	0.414979784	0	1	1			6.95
190904_01-02_600components-0050	21	0.0007609645	2.12708250279336E-10	-0.015153546	0.0139346469	1	637.4695647925	813.2049252829	1352.6261171165	759.0890029243	0.3474638373	59	1011.7442686493	0.5458984375	2.0286518134	0.5042735043	1	729.1694915254	1380.4915254237	0.0005395617	0.8700643183	6.9190917882	14.0364281033	0.9344650709	-4.2176153797	7.1571897317	1.3093876141	2	5	5	1	1.2114983064	0.0146676768	4.2044820763	1.3099854144	0.7955179237	1	0			1	6.95
190904_01-02_600components-0051	21	0.0007609667	6.12302129467131E-10	-0.0621718708	0.0317437334	0	638.2464383521	818.2502748177	1347.8051955788	1056.1472638832														0.8633995645	-12.7758397465	37.2079158083	1.2880196035	2	0.009765625	2.5	9	3.5520087434	0.3017783654	0.0048828125	6.3584362571	0.0048828125	1	0			1	6.95
190904_01-02_600components-0052	21	0.0007609672	-8.18526896366245E-10	-0.0053353863	0.0048240723	0	627.3566281203	810.3860288225	610.7375588824	897.9149169879														0.6185292516	-7.2950410434	11.2755689828	1.2293273889	2	5	5	0	1.1082206568	0.0293799332	4.585020216	1.1687234674	0.414979784	0	1	1			6.95
190904_01-02_600components-0053	21	0.0007609671	-1.19362983677942E-09	-0.0044113365	0.0069142287	0	628.2047302205	811.3740924772	761.5943622172	973.9260345088														0.5890682374	-7.8088919202	11.6965466646	1.2043099836	3	5	5	0	1.1258336016	0.0373883735	4.585020216	1.1875179786	0.414979784	0	1	1			6.95
