exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	mass.perc	region.majmin.ratio	region.extent	region.orient	mass.total	region.majaxis	threshold.area	region.centroid.0	region.centroid.1	region.minaxis	mass.region	region.eccentricity	threshold.perc	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.rangesz	freq.maxsnr	freq.maxsnr.freq	freq.range.low	freq.range.high	freq.integrate	freq.avgsnr	length	artifact	signal	noise	hemodynamic	movement	res
190329_02-03_600components-0055	21	0.0007518673	-1.25750474394243E-10	-0.0049912304	0.0102368812	10	0.0402882737	2.8078486902	0.1780269554	1.1362072838	867.1878137575	264.3499190253	6446	894.1991932982	387.3149239839	94.1467821785	34.9375	0.9344308758	0.9821727868	752.3887283201	724.1601162247	893.4849362131	402.3646391971	0.9914791956	-14.0842331979	5.517099952	2.4465437996	1	0.725328805	2.7229254638	1.0511205191	0.0851959166	0.8105247217	2.3209539525	2.0203646869	27	0	1				6.6
190329_02-03_600components-0056	21	0.0007518653	1.80987664094348E-09	-0.00908253	0.027807074	1	0.0439602648	2.488470409	0.6081081081	-1.1202433115	685.6333813729	80.360246554	2025	932.4656790123	868.6479012346	32.2930287875	30.140625	0.915704068	1	726.883807942	778.5304810556	932.4452490551	868.3830150249	0.99549259	-4.4275141702	12.609959168	2.4432174744	1	0.2467484558	1.007920892	4.585020216	2.7262693317	2.9730177875	0.000028786	1.0050805003	2	1	0		1		6.6
190329_02-03_600components-0057	21	0.0007518674	-4.09004790820406E-09	-0.0057636244	0.0087176836	7	0.0131633292	3.1197062414	0.4724122207	-0.245487736	915.1845116242	105.2227880815	2072	232.8986486486	745.9691119691	33.7284282367	12.046875	0.9472339651	0.9847908745	633.631484323	770.567711301	231.8118966659	744.7232692092	0.966552088	-7.4465731714	22.8245040798	2.3905770086	2	1.6120024285	1.0627883597	3.5355339059	2.9730177875	4.585020216	0.0040697507	1.0384673602	6	0	1				6.6
190329_02-03_600components-0058	21	0.0007518657	7.26834382585967E-09	-0.0044173137	0.0098975214	4	0.1396943912	2.9936844554	0.3468677294	0.8987512161	719.8750009608	307.6115440074	20127	122.2181646544	1347.0852089233	102.7534960968	100.5625	0.9425601251	0.9995530393	585.8707361483	897.9250434446	122.0387674806	1346.6622625354	0.965230619	-9.4568908652	20.5638613443	2.3614441437	0									0	1				6.6
190329_02-03_600components-0059	21	0.000751866	3.72178677830884E-10	-0.0056312133	0.0101026522	14	0.0306609846	1.7644513732	0.3752307434	-0.6286471466	846.9639935195	127.2915495393	4472	1031.6932021467	1244.8568872988	72.1422825647	25.96875	0.823890919	0.8387096774	773.7940027557	827.1154710791	1028.7982966218	1230.1978781818	0.9909453903	-8.9325915574	8.3082411031	2.3225995833	1	0.7323997217	2.8936219383	1.25	0.078125	0.8105247217	2.1198200794	1.879541843	28	0	1				6.6
190329_02-03_600components-0060	21	0.0007518667	-5.4413085343269E-10	-0.0047510255	0.0116534571	5	0.0660468323	1.1418973387	0.3616111611	-0.5986514837	838.4202248459	161.2702028556	11249	751.9153702551	432.0253355854	141.2300365248	55.375	0.4827912495	0.9976055339	719.1878760898	711.6355174363	750.2343736581	429.6627905867	0.9907935715	-11.9197459531	6.8319582318	2.3073895721	1	0.7000392871	1.9884313767	1.4865088938	0.1104854346	0.8105247217	0.9227268063	1.5505334095	24	0	1				6.6
190329_02-03_600components-0061	21	0.0007518665	-3.72956607295276E-09	-0.007217739	0.0080099915	11	0.0125770488	1.2829848392	0.3893162393	-0.6139947822	838.5810655532	69.4572792461	1822	60.6196487377	1118.2069154775	54.1372564399	10.546875	0.6264862935	0.5504531722	595.0539676075	828.5268519303	60.1507744845	1086.5148710446	0.9667139096	-8.5283582111	22.3274822162	2.2952003212	1	0.0057666771	3.3788455461	3.2420988866	0.0048828125	0.0106494896	0.6944113277	2.2414952363	10	0	1				6.6
190329_02-03_600components-0062	21	0.0007518657	-4.93745758700016E-10	-0.0043007701	0.011526281	4	0.0827176965	1.182364783	0.2954000165	-0.9415737739	825.095510084	184.077975037	14282	746.0532138356	1166.0303879009	155.6862803159	68.25	0.533559275	0.994083664	725.2861821486	850.6765496983	747.7703333068	1169.5392942661	0.9902616205	-10.3780171968	6.1969280505	2.2767276144	1	0.3806252927	1.6714260464	2.292510108	0.1013155902	0.4819408829	0.692543537	1.413693354	19	0	1				6.6
190329_02-03_600components-0063	21	0.0007518669	-3.85847115511795E-10	-0.0093507229	0.0322653762	1	0.026859444	1.28120483	0.5827032136	-1.1102612713	765.5594051323	49.5245964508	1233	1175.197080292	784.8815896188	38.654706329	20.5625	0.6251366512	1	733.9234411317	769.8372969274	1174.4605009434	785.3955686307	0.9908119835	-3.08065928	14.6378158974	2.2688278513	1	0.7294931525	1.0479720549	4.585020216	3.8555270635	4.585020216	0.0003709141	1.0312762265	3	1	0			1	6.6
190329_02-03_600components-0064	21	0.0007518666	-1.26521024358837E-09	-0.0264914106	0.0640688257	1	0.0051848394	3.149829958	0.4563492063	0.3720863138	804.6295513206	23.7910245995	115	984.5217391304	276.2173913043	7.5531139511	4.171875	0.94826582	1	700.8002435166	774.5978325401	984.1896328274	276.2371515165	0.9989532169	-1.8672071109	8.746147578	2.2435134929	2	0.7955179237	1.2027711199	5	4.2044820763	5	0.0001350482	1.1260426812	2	1	0			1	6.6
